# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) version 2, resampled to 1 nm box means.
# Source: Coddington et al. (2023), Earth and Space Science, doi:10.1029/2022EA002637
# Archive: LASP LISIRD, https://lasp.colorado.edu/lisird/latis/dap/tsis1_hsrs.csv (native 0.001-0.01 nm sampling)
# Method: unweighted mean of every native sample falling in [n, n+1) nm; bin labelled by its lower edge.
# Irradiance is solar spectral irradiance at 1 AU, W m^-2 nm^-1, solar-minimum conditions between cycles 24 and 25.
# Archive uncertainty is 0.3% over 460-2365 nm and 1.3% outside it.
# Generated by scripts/build_table.py; do not hand-edit.
wavelength_nm,irradiance_w_m2_nm,uncertainty_w_m2_nm,n_samples
469,2.072262e+00,6.217e-03,1000
470,1.950109e+00,5.850e-03,1000
471,2.033336e+00,6.100e-03,1000
472,2.126552e+00,6.380e-03,1000
473,2.017526e+00,6.053e-03,1000
474,2.111890e+00,6.336e-03,1000
475,2.077263e+00,6.232e-03,1000
476,2.018178e+00,6.055e-03,1000
477,2.151460e+00,6.454e-03,1000
478,2.099202e+00,6.298e-03,1000
479,2.111282e+00,6.334e-03,1000
480,2.077713e+00,6.233e-03,1000
481,2.122403e+00,6.367e-03,1000
482,2.110846e+00,6.333e-03,1000
483,2.058739e+00,6.176e-03,1000
484,2.023978e+00,6.072e-03,1000
485,1.928830e+00,5.786e-03,1000
486,1.598435e+00,4.795e-03,1000
487,1.858899e+00,5.577e-03,1000
488,2.004428e+00,6.013e-03,1000
489,1.991195e+00,5.974e-03,1000
490,2.074515e+00,6.224e-03,1000
491,2.005495e+00,6.016e-03,1000
492,1.864133e+00,5.592e-03,1000
493,2.015854e+00,6.048e-03,1000
494,2.037757e+00,6.113e-03,1000
495,1.971579e+00,5.915e-03,1000
496,2.080568e+00,6.242e-03,1000
497,2.055123e+00,6.165e-03,1000
498,1.904564e+00,5.714e-03,1000
499,2.013596e+00,6.041e-03,1000
500,1.876072e+00,5.628e-03,1000
501,1.853872e+00,5.562e-03,1000
502,1.930658e+00,5.792e-03,1000
503,2.007812e+00,6.023e-03,1000
504,1.915196e+00,5.746e-03,1000
505,1.991479e+00,5.974e-03,1000
506,2.035419e+00,6.106e-03,1000
507,1.989783e+00,5.969e-03,1000
508,1.897920e+00,5.694e-03,1000
509,2.023063e+00,6.069e-03,1000
510,1.925254e+00,5.776e-03,1000
511,2.009423e+00,6.028e-03,1000
512,1.934067e+00,5.802e-03,1000
513,1.922963e+00,5.769e-03,1000
514,1.831777e+00,5.495e-03,1000
515,1.939841e+00,5.820e-03,1000
516,1.753676e+00,5.261e-03,1000
517,1.682675e+00,5.048e-03,1000
518,1.706539e+00,5.120e-03,1000
519,1.831478e+00,5.494e-03,1000
520,1.867143e+00,5.601e-03,1000
521,1.905715e+00,5.717e-03,1000
522,1.870483e+00,5.611e-03,1000
523,1.909909e+00,5.730e-03,1000
524,1.983451e+00,5.950e-03,1000
525,1.945909e+00,5.838e-03,1000
526,1.789157e+00,5.367e-03,1000
527,1.768093e+00,5.304e-03,1000
528,1.927072e+00,5.781e-03,1000
529,1.955630e+00,5.867e-03,1000
530,1.970884e+00,5.913e-03,1000
531,2.003801e+00,6.011e-03,1000
532,1.843304e+00,5.530e-03,1000
533,1.933167e+00,5.800e-03,1000
534,1.891950e+00,5.676e-03,1000
535,1.987560e+00,5.963e-03,1000
536,1.929413e+00,5.788e-03,1000
537,1.886328e+00,5.659e-03,1000
538,1.942972e+00,5.829e-03,1000
539,1.852496e+00,5.557e-03,1000
540,1.836708e+00,5.510e-03,1000
541,1.884792e+00,5.654e-03,1000
542,1.914874e+00,5.745e-03,1000
543,1.847569e+00,5.543e-03,1000
544,1.909785e+00,5.729e-03,1000
545,1.931181e+00,5.794e-03,1000
546,1.912143e+00,5.736e-03,1000
547,1.864397e+00,5.593e-03,1000
548,1.897535e+00,5.693e-03,1000
549,1.915752e+00,5.747e-03,1000
550,1.899240e+00,5.698e-03,1000
551,1.890046e+00,5.670e-03,1000
552,1.893721e+00,5.681e-03,1000
553,1.891876e+00,5.676e-03,1000
554,1.912186e+00,5.737e-03,1000
555,1.922091e+00,5.766e-03,1000
556,1.877345e+00,5.632e-03,1000
557,1.847336e+00,5.542e-03,1000
558,1.833219e+00,5.500e-03,1000
559,1.805415e+00,5.416e-03,1000
560,1.842147e+00,5.526e-03,1000
561,1.852978e+00,5.559e-03,1000
562,1.845683e+00,5.537e-03,1000
563,1.871247e+00,5.614e-03,1000
564,1.876867e+00,5.631e-03,1000
565,1.843350e+00,5.530e-03,1000
566,1.803972e+00,5.412e-03,1000
567,1.896123e+00,5.688e-03,1000
568,1.813528e+00,5.441e-03,1000
569,1.874831e+00,5.624e-03,1000
570,1.817736e+00,5.453e-03,1000
571,1.788863e+00,5.367e-03,1000
572,1.902977e+00,5.709e-03,1000
573,1.890605e+00,5.672e-03,1000
574,1.878559e+00,5.636e-03,1000
575,1.843745e+00,5.531e-03,1000
576,1.855127e+00,5.565e-03,1000
577,1.871591e+00,5.615e-03,1000
578,1.789451e+00,5.368e-03,1000
579,1.835059e+00,5.505e-03,1000
580,1.852663e+00,5.558e-03,1000
581,1.841325e+00,5.524e-03,1000
582,1.872020e+00,5.616e-03,1000
583,1.858403e+00,5.575e-03,1000
584,1.856570e+00,5.570e-03,1000
585,1.797058e+00,5.391e-03,1000
586,1.813026e+00,5.439e-03,1000
587,1.851282e+00,5.554e-03,1000
588,1.829278e+00,5.488e-03,1000
589,1.563510e+00,4.691e-03,1000
590,1.817399e+00,5.452e-03,1000
591,1.805937e+00,5.418e-03,1000
592,1.830701e+00,5.492e-03,1000
593,1.795121e+00,5.385e-03,1000
594,1.825227e+00,5.476e-03,1000
595,1.774377e+00,5.323e-03,1000
596,1.816716e+00,5.450e-03,1000
597,1.801083e+00,5.403e-03,1000
598,1.767990e+00,5.304e-03,1000
599,1.787886e+00,5.364e-03,1000
600,1.769381e+00,5.308e-03,1000
601,1.748950e+00,5.247e-03,1000
602,1.724940e+00,5.175e-03,1000
603,1.793737e+00,5.381e-03,1000
604,1.781222e+00,5.344e-03,1000
605,1.767239e+00,5.302e-03,1000
606,1.761420e+00,5.284e-03,1000
607,1.783486e+00,5.350e-03,1000
608,1.725824e+00,5.177e-03,1000
609,1.735994e+00,5.208e-03,1000
610,1.696841e+00,5.091e-03,1000
611,1.745117e+00,5.235e-03,1000
612,1.698738e+00,5.096e-03,1000
613,1.673292e+00,5.020e-03,1000
614,1.705544e+00,5.117e-03,1000
615,1.696975e+00,5.091e-03,1000
616,1.633275e+00,4.900e-03,1000
617,1.655671e+00,4.967e-03,1000
618,1.709054e+00,5.127e-03,1000
619,1.692704e+00,5.078e-03,1000
620,1.715731e+00,5.147e-03,1000
621,1.690602e+00,5.072e-03,1000
622,1.688456e+00,5.065e-03,1000
623,1.655463e+00,4.966e-03,1000
624,1.636184e+00,4.909e-03,1000
625,1.634836e+00,4.905e-03,1000
626,1.672339e+00,5.017e-03,1000
627,1.689840e+00,5.070e-03,1000
628,1.676694e+00,5.030e-03,1000
629,1.672585e+00,5.018e-03,1000
630,1.647467e+00,4.942e-03,1000
631,1.625767e+00,4.877e-03,1000
632,1.647560e+00,4.943e-03,1000
633,1.637045e+00,4.911e-03,1000
634,1.631642e+00,4.895e-03,1000
635,1.659548e+00,4.979e-03,1000
636,1.610800e+00,4.832e-03,1000
637,1.658040e+00,4.974e-03,1000
638,1.646880e+00,4.941e-03,1000
639,1.631612e+00,4.895e-03,1000
640,1.586567e+00,4.760e-03,1000
641,1.603303e+00,4.810e-03,1000
642,1.612041e+00,4.836e-03,1000
643,1.614098e+00,4.842e-03,1000
644,1.612821e+00,4.838e-03,1000
645,1.578911e+00,4.737e-03,1000
646,1.598051e+00,4.794e-03,1000
647,1.599689e+00,4.799e-03,1000
648,1.609637e+00,4.829e-03,1000
649,1.524946e+00,4.575e-03,1000
650,1.590801e+00,4.772e-03,1000
651,1.604243e+00,4.813e-03,1000
652,1.582014e+00,4.746e-03,1000
653,1.592179e+00,4.777e-03,1000
654,1.571239e+00,4.714e-03,1000
655,1.523610e+00,4.571e-03,1000
656,1.229524e+00,3.689e-03,1000
657,1.504918e+00,4.515e-03,1000
658,1.554193e+00,4.663e-03,1000
659,1.533570e+00,4.601e-03,1000
660,1.562999e+00,4.689e-03,1000
661,1.561389e+00,4.684e-03,1000
662,1.568423e+00,4.705e-03,1000
663,1.538197e+00,4.615e-03,1000
664,1.545044e+00,4.635e-03,1000
665,1.564752e+00,4.694e-03,1000
666,1.535595e+00,4.607e-03,1000
667,1.535027e+00,4.605e-03,1000
668,1.553264e+00,4.660e-03,1000
669,1.543160e+00,4.629e-03,1000
670,1.530213e+00,4.591e-03,1000
671,1.506405e+00,4.519e-03,1000
672,1.521755e+00,4.565e-03,1000
673,1.529160e+00,4.587e-03,1000
674,1.520466e+00,4.561e-03,1000
675,1.505853e+00,4.518e-03,1000
676,1.513919e+00,4.542e-03,1000
677,1.514567e+00,4.544e-03,1000
678,1.506880e+00,4.521e-03,1000
679,1.507150e+00,4.521e-03,1000
680,1.499336e+00,4.498e-03,1000
681,1.499369e+00,4.498e-03,1000
682,1.500115e+00,4.500e-03,1000
683,1.489445e+00,4.468e-03,1000
684,1.452711e+00,4.358e-03,1000
685,1.471903e+00,4.416e-03,1000
686,1.474470e+00,4.423e-03,1000
687,1.486038e+00,4.458e-03,1000
688,1.465425e+00,4.396e-03,1000
689,1.483010e+00,4.449e-03,1000
690,1.470297e+00,4.411e-03,1000
691,1.453867e+00,4.362e-03,1000
692,1.456261e+00,4.369e-03,1000
693,1.460275e+00,4.381e-03,1000
694,1.452463e+00,4.357e-03,1000
695,1.449168e+00,4.348e-03,1000
696,1.451628e+00,4.355e-03,1000
697,1.436644e+00,4.310e-03,1000
698,1.423108e+00,4.269e-03,1000
699,1.441640e+00,4.325e-03,1000
700,1.399367e+00,4.198e-03,1000
701,1.396441e+00,4.189e-03,1000
702,1.407059e+00,4.221e-03,1000
703,1.411301e+00,4.234e-03,1000
704,1.417262e+00,4.252e-03,1000
705,1.418025e+00,4.254e-03,1000
706,1.409956e+00,4.230e-03,1000
707,1.407504e+00,4.223e-03,1000
708,1.394956e+00,4.185e-03,1000
709,1.391090e+00,4.173e-03,1000
710,1.406075e+00,4.218e-03,1000
711,1.385783e+00,4.157e-03,1000
712,1.377387e+00,4.132e-03,1000
713,1.376038e+00,4.128e-03,1000
714,1.382574e+00,4.148e-03,1000
715,1.362075e+00,4.086e-03,1000
716,1.351165e+00,4.053e-03,1000
717,1.379795e+00,4.139e-03,1000
718,1.335696e+00,4.007e-03,1000
719,1.342240e+00,4.027e-03,1000
720,1.335203e+00,4.006e-03,1000
721,1.354879e+00,4.065e-03,1000
722,1.332607e+00,3.998e-03,1000
723,1.351747e+00,4.055e-03,1000
724,1.347610e+00,4.043e-03,1000
725,1.341727e+00,4.025e-03,1000
726,1.336529e+00,4.010e-03,1000
727,1.344391e+00,4.033e-03,1000
728,1.320455e+00,3.961e-03,1000
729,1.293042e+00,3.879e-03,1000
730,1.328747e+00,3.986e-03,1000
731,1.318712e+00,3.956e-03,1000
732,1.309575e+00,3.929e-03,1000
733,1.322696e+00,3.968e-03,1000
734,1.325882e+00,3.978e-03,1000
735,1.299059e+00,3.897e-03,1000
736,1.305785e+00,3.917e-03,1000
737,1.308293e+00,3.925e-03,1000
738,1.283058e+00,3.849e-03,1000
739,1.280206e+00,3.841e-03,1000
740,1.285127e+00,3.855e-03,1000
741,1.249026e+00,3.747e-03,1000
742,1.267825e+00,3.803e-03,1000
743,1.292782e+00,3.878e-03,1000
744,1.261925e+00,3.786e-03,1000
745,1.292076e+00,3.876e-03,1000
746,1.275110e+00,3.825e-03,1000
747,1.281871e+00,3.846e-03,1000
748,1.279420e+00,3.838e-03,1000
749,1.251372e+00,3.754e-03,1000
750,1.268989e+00,3.807e-03,1000
751,1.251542e+00,3.755e-03,1000
752,1.256580e+00,3.770e-03,1000
753,1.258358e+00,3.775e-03,1000
754,1.260525e+00,3.782e-03,1000
755,1.250879e+00,3.753e-03,1000
756,1.254154e+00,3.762e-03,1000
757,1.241058e+00,3.723e-03,1000
758,1.230368e+00,3.691e-03,1000
759,1.252484e+00,3.757e-03,1000
760,1.241800e+00,3.725e-03,1000
761,1.233555e+00,3.701e-03,1000
762,1.229473e+00,3.688e-03,1000
763,1.244502e+00,3.734e-03,1000
764,1.240259e+00,3.721e-03,1000
765,1.213373e+00,3.640e-03,1000
766,1.167043e+00,3.501e-03,1000
767,1.227458e+00,3.682e-03,1000
768,1.219678e+00,3.659e-03,1000
769,1.203054e+00,3.609e-03,1000
770,1.206503e+00,3.620e-03,1000
771,1.185252e+00,3.556e-03,1000
772,1.195457e+00,3.586e-03,1000
773,1.211943e+00,3.636e-03,1000
774,1.195448e+00,3.586e-03,1000
775,1.181151e+00,3.543e-03,1000
776,1.203763e+00,3.611e-03,1000
777,1.184695e+00,3.554e-03,1000
778,1.187991e+00,3.564e-03,1000
779,1.181323e+00,3.544e-03,1000
780,1.185688e+00,3.557e-03,1000
781,1.179689e+00,3.539e-03,1000
782,1.191760e+00,3.575e-03,1000
783,1.158534e+00,3.476e-03,1000
784,1.183524e+00,3.551e-03,1000
785,1.170691e+00,3.512e-03,1000
786,1.178555e+00,3.536e-03,1000
787,1.170076e+00,3.510e-03,1000
788,1.168466e+00,3.505e-03,1000
789,1.166410e+00,3.499e-03,1000
790,1.167603e+00,3.503e-03,1000
791,1.148082e+00,3.444e-03,1000
792,1.144676e+00,3.434e-03,1000
793,1.110068e+00,3.330e-03,1000
794,1.112433e+00,3.337e-03,1000
795,1.145846e+00,3.438e-03,1000
796,1.146789e+00,3.440e-03,1000
797,1.143597e+00,3.431e-03,1000
798,1.141608e+00,3.425e-03,1000
799,1.134580e+00,3.404e-03,1000
800,1.117514e+00,3.353e-03,1000
801,1.134038e+00,3.402e-03,1000
802,1.126058e+00,3.378e-03,1000
803,1.118443e+00,3.355e-03,1000
804,1.104196e+00,3.313e-03,1000
805,1.112449e+00,3.337e-03,1000
806,1.122885e+00,3.369e-03,1000
807,1.106103e+00,3.318e-03,1000
808,1.097329e+00,3.292e-03,1000
809,1.094612e+00,3.284e-03,1000
810,1.096905e+00,3.291e-03,1000
811,1.105560e+00,3.317e-03,1000
812,1.104958e+00,3.315e-03,1000
813,1.102764e+00,3.308e-03,1000
814,1.098499e+00,3.295e-03,1000
815,1.095744e+00,3.287e-03,1000
816,1.094718e+00,3.284e-03,1000
817,1.091318e+00,3.274e-03,1000
818,1.061254e+00,3.184e-03,1000
819,1.056036e+00,3.168e-03,1000
820,1.067814e+00,3.203e-03,1000
821,1.054441e+00,3.163e-03,1000
822,1.058459e+00,3.175e-03,1000
823,1.065491e+00,3.196e-03,1000
824,1.072078e+00,3.216e-03,1000
825,1.059767e+00,3.179e-03,1000
826,1.069285e+00,3.208e-03,1000
827,1.061767e+00,3.185e-03,1000
828,1.066520e+00,3.200e-03,1000
829,1.056890e+00,3.171e-03,1000
830,1.052030e+00,3.156e-03,1000
831,1.050989e+00,3.153e-03,1000
