# Hipparcos bright-star supplement for Gaia DR3 — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2016.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.0222 +1.0109*Hp -0.4422*(B-V) when B-V is present,
# else the fallback G ≈ -0.2005 +0.9990*Hp.
hip,ra_j2016,dec_j2016,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
88085,269.859620,-22.466917,0.3800,-0.7700,-2.2400,0.1080,7.5260
38077,117.048325,9.717133,0.6400,7.1500,-10.0800,1.5610,8.1775
40049,122.714197,-32.379397,2.1800,-18.4400,38.4900,1.3400,6.7083
44093,134.717588,-47.234440,14.7700,-84.4000,55.6800,0.2680,5.1301
94011,287.104875,9.133531,2.6400,-1.4700,-3.3000,0.3590,8.9516
77010,235.859798,-30.535023,1.3300,-4.1000,-7.5000,0.0940,7.5019
51174,156.791106,-51.536492,0.6700,-23.4600,11.1300,1.2200,7.9239
86523,265.222615,-12.915830,4.2800,14.1600,-5.0100,0.1990,8.4967
82514,252.967585,-38.047476,3.9700,-8.8400,-21.6000,-0.2000,3.1434
94912,289.707597,36.035620,2.3500,-4.0100,-24.3200,0.9710,8.1452
114594,348.221334,56.536612,2.0000,-6.2700,-3.7900,0.9930,7.2762
52485,160.955329,-48.238901,2.7900,-25.9100,16.2300,0.2730,8.7470
96938,295.594480,-24.859422,5.2600,23.1000,-25.5500,0.1960,6.7087
79402,243.073719,-69.619649,0.5800,-2.5700,-7.8000,-0.0570,8.2965
27591,87.640748,47.460984,1.3800,17.8500,-9.5900,1.8570,6.6818
96588,294.540403,17.243206,4.4700,2.6100,-3.0300,0.0050,7.0256
23954,77.224798,39.488252,0.1300,0.9200,-2.6200,0.0690,8.0992
4155,13.273518,57.219093,2.7600,11.9400,-13.1000,-0.0260,7.3729
101116,307.442087,39.650070,7.9300,-18.3800,-52.6300,0.5240,8.7472
45530,139.178466,-6.715901,1.0500,-15.3200,-27.5300,1.2520,7.9502
84942,260.396599,-40.359635,1.8100,-7.8200,-7.9500,0.1540,8.2638
114092,346.619280,61.440037,8.8500,26.6100,-20.0400,0.4770,6.6350
101038,307.248114,48.225542,3.6900,5.7900,0.0800,0.1700,8.5904
49725,152.282665,-23.566769,8.5600,2.0600,-31.1400,0.8510,7.8242
34371,106.866170,-25.603492,1.8400,-1.5800,4.6300,-0.0420,8.3606
54823,168.347632,-33.949854,1.5400,-21.3000,-3.0600,1.0080,7.9974
47671,145.807776,-35.653848,7.8100,-61.9700,-2.9600,0.9760,7.9408
100475,305.634349,34.990623,9.2500,21.4400,-22.5400,0.0640,6.9288
68410,210.057928,-50.222344,3.1900,-27.5400,-6.4500,1.1040,8.5413
101475,308.478579,46.693874,6.7800,9.6600,1.8200,-0.1400,5.9272
52151,159.817534,-36.677080,5.3300,-47.9600,15.1900,0.9080,6.3837
52352,160.482651,-40.691261,11.0400,-109.6300,18.3300,0.4440,7.3572
53100,162.944895,-57.272315,5.4000,-50.8900,-0.1000,0.2260,6.2809
19764,63.563109,66.547919,3.1500,-0.8100,0.1000,2.0070,7.4950
50304,154.062893,-27.709800,10.4900,-37.3600,-14.7100,0.3720,8.2079
94645,288.889008,-24.179805,36.9700,114.7800,-101.8100,0.5480,6.0981
49984,153.071897,-16.086412,4.8700,-2.9100,6.4600,0.1810,7.6555
84694,259.707545,-39.516467,8.9500,-24.8400,-31.9100,0.4960,8.2744
81197,248.777772,-36.062964,13.3200,-67.3800,-292.7700,0.8220,8.1706
69871,214.471004,-42.591274,2.4900,-20.0700,-9.5300,-0.0380,7.1457
87277,267.495358,-41.379601,1.3500,0.0400,-8.8100,-0.0600,8.0754
90503,277.018101,57.922246,2.3200,2.2500,3.2900,0.8940,7.9265
74915,229.640624,-47.879543,11.2200,-21.8800,-59.6100,0.0930,6.9261
46295,141.614216,-51.174459,3.4100,-18.0100,11.2900,-0.0770,8.4772
98049,298.873737,-29.097071,18.8400,-73.5200,-16.4500,0.6570,8.2840
95022,290.012677,33.291066,2.4900,1.6900,2.8600,0.1080,8.5268
53219,163.271885,-54.412777,1.6600,-9.8600,4.4500,1.0520,7.9476
100409,305.417995,44.814223,0.7600,-3.0100,-2.2800,0.7290,7.2514
96252,293.575857,41.927182,7.1000,10.8400,-8.3200,-0.0080,6.7787
51610,158.139963,-44.618613,8.2100,-12.7600,-23.6200,0.9200,5.5899
760,2.336708,79.714370,8.5600,106.1700,-39.3700,0.2030,6.0080
69019,211.936347,-53.686045,5.6200,-46.8300,-14.7400,0.4500,8.1936
83381,255.623653,-46.584933,7.8500,-21.0500,1.1600,0.5910,8.4649
93659,286.076363,-20.142629,1.1200,0.1300,-6.9900,-0.0150,8.6418
82769,253.731493,-48.102868,6.8700,20.7200,14.1800,1.7430,7.8948
98307,299.617942,-30.071877,4.2600,2.1100,-14.1100,0.5400,8.5885
95912,292.581873,-20.834366,4.6600,16.9200,-2.4100,0.1380,8.4832
100904,306.890193,-39.532252,5.0900,28.1600,-15.2100,0.3210,7.9676
47321,144.633016,-64.109666,7.4700,-20.7600,21.8500,0.4300,8.7585
52269,160.207743,-53.375658,2.2600,-20.8200,4.9100,1.2710,7.2442
37593,115.709363,1.609538,8.4200,7.4300,14.2200,0.1500,7.3356
17848,57.291147,69.199808,2.2700,-1.2100,-18.5700,0.9690,7.6912
87198,267.214984,-39.430558,14.1400,-12.7700,-47.0000,0.4740,8.3245
34448,107.115225,-18.602951,3.2900,-13.5600,20.0800,1.6260,6.5616
21966,70.824102,59.520951,5.8000,6.9400,-41.2000,0.2390,6.4976
3932,12.616315,59.671744,-1.3100,-2.6200,-1.2500,0.3090,7.5584
32789,102.545997,16.453600,7.6500,21.0900,-30.7800,0.8240,6.7848
41777,127.788078,-54.087600,23.1600,62.6500,151.7200,0.7900,7.9826
31932,100.100692,-15.853484,2.9500,-7.0000,4.7300,0.2990,8.8669
53720,164.862706,-42.418715,2.7000,14.2000,1.6900,1.0370,8.4193
35458,109.801212,6.351154,2.2000,-4.5900,-3.4300,0.7110,8.4826
95546,291.520980,7.198763,8.8500,20.3000,25.2300,0.3990,8.2465
52898,162.286165,-46.778272,1.0200,-6.0800,3.8900,-0.0770,7.9414
